project,#pull_request,first_pull_request_date,last_pull_request_date,last_commit_date,#pull_request_with_commit,#merged_pull_request,#mpr_all,#mpr_partial,#mpr_none,#mpr_nc==0,#mpr_nc==1,#mpr_1<nc<=5,#mpr_5<nc<=10,#mpr_10<nc<=20,#mpr_20<nc<=30,#mpr_30<nc
knox,382,2014-10-13T05:31:37.000000,2020-12-15T16:16:22.000000,2018-10-31T16:33:03.000000,34,308,4,0,304,0,4,4,0,0,0,0
calcite,2310,2014-07-03T19:29:03.000000,2021-01-04T02:30:53.000000,2018-06-27T18:33:39.000000,752,600,23,0,577,0,19,21,2,0,0,0
commons-collections,200,2014-05-01T21:01:02.000000,2021-01-01T06:04:52.000000,2018-11-13T22:18:43.000000,58,84,0,0,84,0,0,0,0,0,0,0
eagle,1005,2015-11-18T20:13:17.000000,2020-04-19T20:35:47.000000,2018-05-28T18:07:35.000000,992,22,21,0,1,0,10,21,0,0,0,0
systemml,1141,2015-11-20T21:50:07.000000,2021-01-04T10:02:10.000000,2018-08-17T05:58:28.000000,832,44,0,0,44,0,0,0,0,0,0,0
santuario-java,27,2015-06-03T20:02:55.000000,2020-05-14T09:35:23.000000,2019-03-26T11:27:29.000000,11,0,0,0,0,0,0,0,0,0,0,0
wss4j,15,2019-11-22T07:05:15.000000,2020-09-19T20:50:03.000000,2018-07-10T10:30:17.000000,0,11,0,0,11,0,0,0,0,0,0,0
commons-lang,689,2011-11-24T03:50:44.000000,2021-01-04T06:29:21.000000,2018-10-09T16:39:13.000000,377,214,71,0,143,0,48,64,4,2,0,1
falcon,417,2014-04-29T15:58:45.000000,2019-03-07T12:09:03.000000,2018-04-17T08:53:32.000000,410,0,0,0,0,0,0,0,0,0,0,0
zeppelin,4011,2015-03-25T09:03:23.000000,2021-01-04T13:33:58.000000,2018-05-30T04:03:27.000000,3007,24,0,0,24,0,0,0,0,0,0,0
