project,nc,fcd,lcd,nbfc,nbfc_a,nbfc_io,nbfc_v,nbfc_if,nbic,nbic_szz,nbic_jl+r,nbic_jlip+r,nbic_jlmiv,nbic_jlmiv+,nbic_jlmiv+av,nbic_jlmiv+rav,nbic_jlmiv+r
roller,4798,2005-06-07T02:56:59.000000,2019-09-26T10:22:55.000000,436,0,436,0,436,220,0,220,192,0,0,0,0,0
mina-sshd,1865,2008-12-04T16:24:17.000000,2019-10-09T06:58:50.000000,399,0,399,0,399,505,0,505,429,0,0,0,0,0
jackrabbit,13432,2004-09-13T17:48:13.000000,2019-10-22T11:56:43.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oozie,3112,2011-08-19T19:23:39.000000,2020-03-11T11:10:47.000000,1647,0,1647,0,1647,706,0,706,518,0,0,0,0,0
activemq,12522,2005-12-12T17:53:59.000000,2020-03-12T20:22:07.000000,4216,0,4216,0,4216,2396,0,2396,2237,0,0,0,0,0
maven,12594,2003-09-01T16:05:50.000000,2020-03-30T15:34:20.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
airavata,9513,2011-07-09T19:21:43.000000,2020-04-08T00:40:24.000000,844,0,844,0,844,1108,0,1108,683,0,0,0,0,0
openjpa,7270,2006-05-02T01:50:04.000000,2020-07-24T09:46:13.000000,2745,0,2745,0,2745,1197,0,1197,1066,0,0,0,0,0
directory-studio,6061,2006-11-16T09:49:01.000000,2021-04-12T04:14:38.000000,484,0,484,0,484,404,0,404,388,0,0,0,0,0
xmlgraphics-batik,3760,2000-10-01T07:37:01.000000,2021-01-21T09:21:14.000000,60,0,60,0,60,96,0,96,93,0,0,0,0,0
curator,3131,2011-07-14T19:59:21.000000,2021-03-28T14:44:22.000000,244,0,244,0,244,198,0,198,185,0,0,0,0,0
directory-kerby,2074,2014-02-21T18:49:21.000000,2021-04-27T07:20:30.000000,191,0,191,0,191,258,0,258,201,0,0,0,0,0
fineract,6113,2012-04-20T09:31:01.000000,2021-04-29T18:35:22.000000,378,0,378,0,378,314,0,314,174,0,0,0,0,0
